ortho	freq
a/c	0.14
aas	0.09
aback	3.27
abaft	0.08
aband	0.0
abase	0.06
abased	0.06
abashed	0.57
abate	0.69
abates	0.09
abayed	0.0
abbé	0.0
abbear	0.0
abbears	0.0
abbens	0.0
abbés	0.0
abbess	0.57
abbey	19.42
abbeys	0.84
abbot	5.88
abbots	1.19
abchaim	0.0
abduct	0.32
abeam	0.16
abects	0.0
abed	0.23
abeme	0.0
abents	0.0
abests	0.0
abet	0.17
abhor	0.43
abhorred	0.45
abhors	0.23
abide	3.15
abides	0.15
abik	0.0
abject	1.2
abjure	0.16
abjured	0.12
ablaze	1.67
able	304.1
abler	0.05
ablest	0.44
ablobs	0.0
ably	0.99
abme	0.0
abne	0.0
abo	0.43
aboard	9.66
abode	1.65
abodes	0.1
abone	0.0
abones	0.0
abort	1.06
aborts	0.07
abound	2.78
abounds	0.78
about	1971.16
above	257.48
abow	0.0
abrade	0.09
abran	0.0
abrass	0.0
abrast	0.0
abre	0.0
abreast	1.96
abreeves	0.0
abridge	0.15
abridged	0.55
abroad	39.41
abroths	0.0
abrupt	4.99
abrush	0.0
abscess	0.5
abscond	0.24
absconds	0.05
abscrict	0.0
abscue	0.0
abscued	0.0
abscusts	0.0
absence	57.8
absent	15.67
absents	0.03
absians	0.0
absidge	0.0
absigned	0.0
absincts	0.0
absipsed	0.0
absirl	0.0
abslete	0.0
absletes	0.0
absolve	0.45
absolved	0.85
absolves	0.1
absorb	8.09
absorbed	15.59
absorbs	1.68
absord	0.0
absords	0.0
absost	0.0
absosts	0.0
absount	0.0
absounts	0.0
abstain	1.29
abstained	1.12
abstract	22.2
abstracts	1.63
abstrade	0.0
abstrides	0.0
abstruse	0.4
abstuened	0.0
abstuent	0.0
absurd	9.66
absuse	0.0
absused	0.0
abud	0.0
abuse	35.97
abused	7.47
abusts	0.0
abvid	0.0
abwipt	0.0
abyss	1.5
acaned	0.0
acax	0.0
accar	0.0
accars	0.0
accede	1.0
accedes	0.06
accent	14.42
accents	4.38
accept	98.07
accepts	8.18
access	109.4
acclaim	2.66
acclaimed	3.0
acclaims	0.04
acclo	0.0
accord	11.59
accords	2.53
accost	0.21
accosts	0.03
account	158.91
accounts	72.49
accrete	0.08
accretes	0.04
accrieve	0.0
accrieved	0.0
accrond	0.0
accrue	2.0
accrued	2.66
accrues	0.44
accubes	0.0
accult	0.0
accune	0.0
accurd	0.0
accures	0.0
accuse	3.61
accused	49.1
accusts	0.0
ace	19.24
aced	0.03
aces	1.51
ache	4.09
ached	2.88
achens	0.0
aches	1.77
achieve	67.68
achieved	79.54
achieves	3.43
aching	4.7
achms	0.0
achop	0.0
acid	49.68
acids	10.08
