ortho	freq
a/c	0
aas	1
aback	15
abaft	2
aband	0
abase	2
abased	0
abashed	0
abate	5
abates	2
abayed	0
abbé	27
abbear	0
abbears	0
abbens	0
abbés	0
abbess	1
abbey	45
abbeys	0
abbot	18
abbots	0
abchaim	0
abduct	36
abeam	7
abects	0
abed	6
abeme	0
abents	0
abests	0
abet	5
abhor	12
abhorred	7
abhors	4
abide	133
abides	4
abik	0
abject	17
abjure	1
abjured	0
ablaze	20
able	8048
abler	1
ablest	2
ablobs	0
ably	9
abme	0
abne	0
abo	5
aboard	1335
abode	33
abodes	0
abone	0
abones	0
abort	117
aborts	1
abound	18
abounds	10
about	179962
above	2350
abow	0
abrade	1
abran	0
abrass	0
abrast	0
abre	0
abreast	26
abreeves	0
abridge	1
abridged	7
abroad	248
abroths	0
abrupt	56
abrush	0
abscess	23
abscond	5
absconds	0
abscrict	0
abscue	0
abscued	0
abscusts	0
absence	314
absent	117
absents	0
absians	0
absidge	0
absigned	0
absincts	0
absipsed	0
absirl	0
abslete	0
absletes	0
absolve	27
absolved	15
absolves	4
absorb	99
absorbed	74
absorbs	24
absord	0
absords	0
absost	0
absosts	0
absount	0
absounts	0
abstain	18
abstained	4
abstract	104
abstracts	5
abstrade	0
abstrides	0
abstruse	3
abstuened	0
abstuent	0
absurd	467
absuse	0
absused	0
abud	0
abuse	503
abused	226
abusts	0
abvid	0
abwipt	0
abyss	77
acaned	0
acax	0
accar	0
accars	0
accede	7
accedes	0
accent	595
accents	57
accept	2598
accepts	106
access	1483
acclaim	22
acclaimed	20
acclaims	2
acclo	0
accord	77
accords	8
accost	3
accosts	1
account	2253
accounts	521
accrete	0
accretes	0
accrieve	0
accrieved	0
accrond	0
accrue	4
accrued	12
accrues	1
accubes	0
accult	0
accune	0
accurd	0
accures	0
accuse	281
accused	655
accusts	0
ace	357
aced	33
aces	132
ache	125
ached	15
achens	0
aches	77
achieve	373
achieved	215
achieves	16
aching	103
achms	0
achop	0
acid	466
acids	41
aciss	0
acive	0
acks	0
acloot	0
acme	0
acnant	0
acne	45
