ortho	freqf
a	81.36
a	6350.91
a	5498.34
a capella	0.04
a cappella	0.04
a contrario	0.0
a fortiori	0.04
a giorno	0.0
a jeun	0.18
a l'instar	0.26
a posteriori	0.01
a priori	0.63
a priori	0.41
aa	0.01
ab absurdo	0.0
ab initio	0.01
ab ovo	0.0
abaca	0.01
abaissa	0.0
abaissai	0.1
abaissaient	0.0
abaissait	0.02
abaissant	0.03
abaissant	0.01
abaissante	0.01
abaisse	0.02
abaisse	1.28
abaisse-langue	0.04
abaissement	0.31
abaissent	0.05
abaisser	1.09
abaissera	0.19
abaisserai	0.1
abaisseraient	0.01
abaisserais	0.13
abaisserait	0.02
abaisses	0.16
abaissez	0.53
abaissons	0.02
abaissèrent	0.0
abaissé	0.74
abaissé	0.03
abaissée	0.17
abaissée	0.0
abaissées	0.01
abaissées	0.02
abaissés	0.3
abaissés	0.01
abalone	0.01
abalones	0.0
abandon	4.77
abandonna	0.59
abandonnai	0.27
abandonnaient	0.07
abandonnais	0.35
abandonnait	1.04
abandonnant	1.15
abandonnas	0.0
abandonne	24.04
abandonnent	2.44
abandonner	28.37
abandonnera	1.52
abandonnerai	2.39
abandonneraient	0.02
abandonnerais	0.93
abandonnerait	0.23
abandonneras	0.3
abandonnerez	0.14
abandonneriez	0.23
abandonnerions	0.01
abandonnerons	0.39
abandonneront	0.41
abandonnes	4.13
abandonneurs	0.0
abandonnez	5.72
abandonniez	0.14
abandonnions	0.06
abandonnique	0.0
abandonnons	1.06
abandonnâmes	0.0
abandonnât	0.0
abandonnèrent	0.16
abandonné	22.56
abandonné	3.84
abandonnée	7.34
abandonnée	2.94
abandonnées	1.27
abandonnées	0.44
abandonnés	3.55
abandonnés	1.05
abandons	0.07
abaque	0.0
abasourdi	0.24
abasourdi	0.35
abasourdie	0.14
abasourdie	0.12
abasourdir	0.01
abasourdis	0.02
abasourdis	0.07
abasourdissant	0.01
abasourdissants	0.0
abat	0.13
abat	2.15
abat-jour	0.51
abat-son	0.0
abatage	0.0
abatis	0.0
abats	0.52
abats	1.79
abattage	0.63
abattages	0.02
abattaient	0.06
abattais	0.02
abattait	0.42
abattant	0.05
abattant	0.31
abattants	0.01
abatte	0.58
abattement	0.17
abattements	0.01
abattent	0.69
abattes	0.11
abatteur	0.14
abatteurs	0.0
abattez	2.21
abattiez	0.06
abattions	0.0
abattirent	0.03
abattis	0.14
abattis	0.0
abattit	0.34
abattoir	2.67
abattoirs	0.48
abattons	0.33
abattra	1.51
abattrai	0.39
abattraient	0.03
abattrais	0.1
abattrait	0.63
abattras	0.03
abattre	14.43
abattrez	0.26
abattriez	0.02
abattrons	0.11
abattront	0.34
abattu	11.48
abattu	1.82
abattu	0.18
abattue	2.19
abattue	0.18
abattues	0.44
abattues	0.04
abattures	0.0
abattus	2.42
abattus	0.47
abattus	0.35
abbatial	0.0
abbatiale	0.0
abbatiale	0.0
abbatiales	0.0
abbaye	3.66
abbayes	0.28
abbesse	0.26
abbesses	0.0
abbé	4.19
abbés	0.02
abc	0.04
abcès	1.79
abdication	0.05
abdications	0.0
abdiqua	0.0
abdiquai	0.0
abdiquaient	0.0
abdiquais	0.0
abdiquait	0.0
abdiquant	0.0
abdique	0.23
abdiquer	0.08
abdiquera	0.01
abdiquerais	0.0
abdiquerait	0.0
abdiquez	0.03
abdiqué	0.11
abdiquée	0.0
abdomen	2.76
abdominal	0.5
abdominale	1.3
abdominales	0.7
abdominaux	0.06
abdominaux	0.09
abdos	0.86
abducteur	0.01
abduction	0.05
abeille	3.53
abeilles	5.59
aber	0.25
aberrant	0.58
aberrant	0.0
aberrante	0.04
aberrantes	0.2
aberrants	0.02
aberration	0.89
aberrations	0.27
abhorrais	0.01
abhorrait	0.01
abhorrant	0.01
