allbigrams,bigrams,categ,item,letters,openbigrams,quadrigrams,trigrams
-3.884290040248521,-4.735735398834882,BFL,afvrzw,-2.128032841988317,-3.6920307272620176,,
-4.114693433236972,-4.081327456458444,BFL,wkynun,-2.3510725191692683,-4.159057456370934,,-5.964249135799938
-3.979033649452408,-4.5841625099053855,BFL,bejmzz,-1.8471628950806958,-4.216661880437878,,
-4.16213844113143,-3.9252266274241734,BFL,foyskh,-2.079615543154578,-4.075630216171385,,-5.559973484835973
-4.199520261480685,-4.368168094363381,BFL,urggwz,-2.251258957302897,-4.107779278349681,,-5.492493326616203
-4.043731604385246,-4.520920217353539,BFL,hopyhx,-1.9871794064655977,-4.833632861820025,,-5.471093028996835
-4.166120510558809,-4.247280725961675,BFL,zjkian,-1.8783419365908738,-4.031359751047527,-5.993582847598528,-5.361987028621342
-4.30469500693616,-4.0421933940187085,BFL,xhodow,-2.1604456726337276,-4.471399710300122,-5.80779420891231,-5.343550632793107
-4.246592172233908,-4.705558942704524,BFL,ipkynz,-2.045085684062581,-3.965342619391314,,
-4.332226299771308,-4.931918620347619,BFL,wbhlew,-2.5398385322448433,-4.582083228378314,,-5.805521289106821
-4.33374478955794,-4.472136160915908,BFL,okgydu,-2.026373528756692,-4.067438284537285,,
-4.613718374147751,-4.533243485654782,BFL,jaiwvf,-2.059790650413427,-4.839074004415576,,-5.826769903577388
-4.42380503908311,-4.685046317253951,BFL,cokxbc,-2.041757759225393,-4.478198070085607,,-5.816092559366504
-4.2186170740185,-4.497575273380443,BFL,kalyuw,-2.3600597738304754,-4.297418764929063,,-5.572377170702286
-4.350553065336843,-4.450961772908922,BFL,tokbke,-2.0454331310706455,-4.137674137319521,,-5.962237156042079
-4.439126426899067,-4.0825890417938275,BFL,falwyp,-2.1583636047287698,-4.755585902920767,,-5.501221911208127
-4.001159381359862,-4.787770301888419,BFL,dhbizk,-2.119098767473778,-3.7417484631486833,,-5.529000418651546
-4.4598742429396765,-4.592257240754263,BFL,goswyg,-2.2689339664001698,-4.426287480386464,,-5.550408753142028
-4.092459567274641,-3.94968308083905,BFL,unkizz,-1.9557017201969684,-3.977090800093903,-5.769548624477299,-5.301404911017684
-4.408783096163128,-4.261051896290714,BFL,achwmy,-2.213655764200126,-4.444977116746625,,-5.2665939930009324
-4.332142452912927,-4.681368139522296,BFL,okguqg,-2.0487115608834006,-4.066220083576757,,
-4.693970050825631,-4.366884595444627,BFL,rebwxy,-2.24971250711817,-4.913233309833847,,-5.595340979708247
-4.1166605748929115,-4.448888710168932,BFL,kgysva,-2.0051617890485174,-4.23215640369211,,-5.962237156042079
-4.262901929381703,-4.619781314663033,BFL,wiwreh,-2.366655495175249,-4.029797269732438,,-5.679981131818732
-4.1086650968355025,-4.893096724176195,BFL,knfvya,-1.9973586901839482,-4.183142607123177,,
-4.4624531238772525,-5.326729964049595,BFL,gowrzs,-2.0781889199181887,-3.97851077938273,,
-4.439450744826597,-4.4177144702734505,BFL,cibbkh,-2.0701360934128,-4.518882953869632,,-5.545105360643287
-4.277076714992755,-4.011288207219943,BFL,glymow,-2.2095474771279116,-4.475691203940913,-5.988444300799032,-5.614679274504902
-4.204734836484636,-5.301003473933707,BFL,kcfnza,-1.9384002173602457,-3.990637425700176,,-5.868060979748465
-4.094866528954025,-4.275330423516535,BFL,bolykg,-2.138142481484739,-4.308670360724635,-5.993519637650653,-5.381848538434389
-3.925491707304923,-4.530569871682799,BFL,vaxrzz,-1.8417991989487505,-3.981006786391715,,
-4.091628553955952,-4.557161115662313,BFL,jiyock,-1.9954744526476567,-4.127348696856144,,-5.5950251509898
-4.368339297940888,-4.55502971815076,BFL,zenbwu,-2.006444434749425,-4.037091859004984,,-5.860462217556802
-4.321183001282042,-4.36945907758879,BFL,rhkyag,-2.10196849123697,-4.984902182972045,,-5.498755226702907
-4.128442782444051,-4.144966412644072,BFL,wpoexw,-2.4820084908406987,-4.368193002241261,,-5.5534427822990065
-4.126601235862777,-4.591237677094526,BFL,ccyizk,-2.102936684117713,-3.8278381842401137,,-5.9667137843490945
-4.266339874248532,-4.411925280372506,BFL,waspxb,-2.1031799348393148,-3.8895984314816006,,-5.586300245659447
-3.918258949968885,-3.7950434644634514,BFL,zymoly,-1.9250077733650741,-4.158275317012205,-5.965337312242563,-5.2201807747266065
-4.552742641535455,-5.285867723796432,BFL,pwkvii,-2.245483383054984,-4.695427581084111,,
-4.346307455345826,-4.836221100069464,BFL,cubhzj,-1.8731251854784479,-4.254391871659271,,-5.765220717635574
-4.394499903561705,-4.603860844726645,BFL,gowsyp,-2.16560397792481,-4.232202172540662,,-5.911184733610881
-3.962093917756264,-4.245375928356372,BFL,ntqukk,-2.1093765306960788,-4.197330092352097,,-5.98377464631665
-4.1571948266527805,-4.141339360769011,BFL,wzylie,-2.1061410463451673,-4.127014598424441,-5.997821050588471,-5.099852237655066
-4.330503615851226,-4.48987374454998,BFL,baukgj,-1.9997300872245605,-4.181460742863919,,-5.687905862811128
-4.592392777202624,-4.865310960743676,BFL,wowrsh,-2.429068782917161,-4.063081489290446,,-5.887644631056715
-4.001214503291127,-4.268502644595165,BFL,keyzap,-1.9681129709708267,-4.826850639367143,,-5.6915766805332115
-4.236073993270754,-4.625297438709843,BFL,hjgonw,-2.1878017451944136,-4.813698354691635,,-5.56226872334115
-3.9683137037044154,-4.420344562817654,BFL,fiazbk,-2.0249899596024106,-3.787128790173207,,-5.3702990730975815
-4.858709603831365,-4.837469437561842,BFL,gowylh,-2.305562683214681,-5.015367586706119,,
-4.101222913706016,-4.838420228315389,BFL,bmkasx,-1.9455955926462536,-4.1714102797305666,,-5.932137233088373
-4.51015294773063,-5.053190070325231,BFL,puyzjz,-1.9972937938013293,-4.693940998721743,,-5.724325439756739
-3.82729715717114,-4.2446389785518575,BFL,kfriks,-2.0760478994001166,-3.5899220358296033,-5.979630956900233,-5.298959307872289
-4.486445019474314,-4.363834897688609,BFL,zzwego,-2.220799661631475,-4.57407198760236,,-5.527165203321438
-4.499329374580432,-4.737325153732575,BFL,skihyd,-1.9882557637442815,-4.381841060883103,,-5.468524073449167
-4.035492453210831,-3.816201276891139,BFL,evarww,-2.280925714744972,-4.142096495985357,-5.769548624477299,-4.964653824421374
-4.159437722261337,-4.6408228161079625,BFL,onyzzk,-2.1976868692541323,-4.178923249793304,,-5.740489321504039
-4.213840230337538,-4.171094256725419,BFL,bamuwy,-2.1520224900746463,-4.485178808628161,,-5.356927022254126
-4.185798341164692,-4.429381748433405,BFL,kkflge,-2.212041955982429,-4.096870948993351,,-5.764660911002184
-4.446191847073989,-5.0445463607055085,BFL,wsbzmo,-2.121065532772212,-4.433557535467059,,
-4.040894703884439,-4.469648610163189,BFL,ykhrug,-2.1213520464642204,-3.6181716284588297,,-5.820540638948502
-4.039690499389504,-4.392092705474791,BFL,wnzabt,-2.0516680255566935,-3.8908848160134353,,-5.868060979748465
-3.8439834329467533,-4.034597524668306,BFL,mfisyk,-1.9704570647280848,-4.019710283153934,,-5.552540058841596
-4.369322296069519,-5.4362398517757375,BFL,gqewaz,-2.151264331536725,-4.140988554723923,,
-4.004553822012195,-5.075035047773703,BFL,krjimx,-1.969078241097349,-4.140848445425294,,
-4.597589196926969,-4.8927411983886655,BFL,weyvfl,-2.1321893578164226,-4.358991451951155,,
-3.9292771028981517,-3.716873482715779,BFL,kzabig,-2.0494092582663512,-4.100407855922889,,-5.16167729556388
-4.014795167533467,-3.5128074838415997,BFL,fexchw,-2.2138374386012756,-4.586164480181268,,-5.35693987088884
-4.381650854240181,-4.4382657080556625,BFL,dabkdy,-2.045148656475351,-4.326716809237226,,-5.62366124187484
-4.03897611290677,-4.683871932256993,BFL,pughhz,-1.9023340775411814,-3.962591506353167,,-5.679786600890672
-3.906615177987719,-3.6597009730334307,BFL,klecky,-2.204191872261694,-4.1338563591297035,,-5.196304736934501
-4.302292591708345,-4.657609303138129,BFL,wdzhot,-2.1418630986717044,-4.399568354919077,,-5.4096479919180425
-4.005069065557191,-3.9653971326165474,BFL,anibkk,-2.0836499018622803,-4.015703509347809,,-5.049583958376502
-4.480086560127862,-4.76689460532833,BFL,fugyyh,-2.0921370980983247,-4.503043831656064,,-5.667118398271342
-4.308437034338367,-3.9696614915791164,BFL,bjkpon,-1.9170515549891114,-4.478637318515038,,-5.262489831660787
-4.038779774093625,-4.191795515611892,BFL,wcahyg,-2.314450949170203,-4.832868465877807,,-5.596093300535628
-4.104564787834132,-4.232382531004478,BFL,bblkop,-1.9516113199750305,-4.2385541109261196,,-5.831271713302026
-4.08875124512384,-4.399459643052691,BFL,xwahng,-2.2304271791456443,-4.438409743933878,,
-4.014913199980364,-4.036005991006355,BFL,zzblov,-1.8281863101344393,-4.254375616148533,,-5.330652372663902
-4.0120669794392105,-4.102014388705607,BFL,kirxyp,-2.059511879713886,-4.747741858153686,,-5.913319544983141
-3.93157247872553,-4.416960629708119,BFL,wascgz,-2.106322461923159,-3.8506809680770893,,-5.554536646005013
-4.068658329040094,-4.074488476969094,BFL,ykblub,-2.121215231567163,-3.7479487760466514,,-5.318077067118512
-4.657555615421607,-4.456942241626992,BFL,qgwvan,-2.1015993609384274,-4.851033999776482,,-5.25912561122069
-3.900460886703011,-4.665938443280947,BFL,ypuuzk,-2.056961055389644,-3.560123855890579,,
-4.440794084126111,-4.5626954314989145,BFL,fagbhw,-2.310219997976031,-4.817499332729981,,-5.8517635907743575
-3.7327370191732903,-4.534732105169071,BFL,yzsicz,-1.832869256050517,-3.8238373801566845,,-5.633433760718516
-4.254619922076691,-4.151132229853619,BFL,wakvag,-2.326640375749952,-4.511487932632178,-5.998910525294235,-5.5246875763174135
-4.252880676805834,-4.524657146532065,BFL,hemjzh,-1.8135560478525194,-4.390308248185616,,-5.426122459577045
-3.850178214659127,-3.967835621562012,BFL,yxuack,-2.0463969439359415,-4.059983439761533,,-5.382811040460144
-4.173409177363869,-4.458527931617191,BFL,owhbiv,-2.1134270095114496,-4.017677424848534,,-5.924270900918929
-3.8576679672703214,-4.212447857234194,BFL,jgezzy,-2.0311592530851215,-5.0017789787689715,,-5.4701065993422295
-4.143559406014599,-5.165266971728238,BFL,xlbnuw,-2.1060021216517373,-4.2329099031087605,,-5.974909449348436
-4.057700466117755,-4.559091439481773,BFL,kidtyv,-1.92894961183653,-4.015009267261409,,-5.691633577135624
